updated,open,high,low,close,average,volume
2023-03-10,20369.38,20370.96,19597.37,20207.71,19984.165,105301
2023-03-09,21707.57,21820.94,20120.77,20369.38,20970.855,75190
2023-03-08,22200.87,22261.89,21643.55,21707.57,21952.72,41189
2023-03-07,22410.34,22540.33,21965.95,22200.87,22253.14,38868
2023-03-06,22433.65,22596.13,22304.69,22410.34,22450.41,27062
2023-03-05,22351.08,22632.51,22240.41,22433.65,22436.46,20845
2023-03-04,22361.45,22410.72,22179.49,22351.08,22295.105000000003,11820
2023-03-03,23467.22,23476.96,22147.42,22361.45,22812.19,59219
2023-03-02,23641.2,23788.72,23212.33,23467.22,23500.525,34699
2023-03-01,23134.2,23962.77,23037.24,23641.2,23500.005,45286
2023-02-28,23490.07,23596.23,23039.39,23134.2,23317.81,34848
2023-02-27,23557.39,23876.65,23144.28,23490.07,23510.465,44498
2023-02-26,23167.45,23673.78,23068.21,23557.39,23370.995,27038
2023-02-25,23189.78,23217.24,22809.89,23167.45,23013.565,24711
2023-02-24,23941.1,24125.33,22830.91,23189.78,23478.120000000003,68652
2023-02-23,24186.92,24595.08,23629.29,23941.1,24112.185,67725
2023-02-22,24450.5,24471.79,23597.76,24186.92,24034.775,71228
2023-02-21,24838.09,25216.35,24168.6,24450.5,24692.475,68937
2023-02-20,24287.53,25098.8,23873.19,24838.09,24485.995,54396
2023-02-19,24638.27,25175.28,24253.13,24287.53,24714.205,43529
2023-02-18,24578.28,24854.76,24454.5,24638.27,24654.63,22334
2023-02-17,23533.22,25012.32,23368.98,24578.28,24190.65,83842
2023-02-16,24332.21,25233.22,23522.57,23533.22,24377.895,89399
2023-02-15,22208.56,24338.52,22059.91,24332.21,23199.215,70450
2023-02-14,21787.77,22308.02,21587.95,22208.56,21947.985,51049
2023-02-13,21790.14,21895.37,21407.31,21787.77,21651.34,58725
2023-02-12,21862.19,22081.41,21659.69,21790.14,21870.55,27490
2023-02-11,21634.86,21897.19,21611.54,21862.19,21754.365,17100
2023-02-10,21807.55,21940.0,21495.4,21634.86,21717.7,52389
2023-02-09,22961.13,23000.67,21741.16,21807.55,22370.915,72685
2023-02-08,23252.78,23407.79,22688.45,22961.13,23048.120000000003,32423
2023-02-07,22761.44,23343.29,22752.6,23252.78,23047.945,37031
2023-02-06,22940.79,23147.93,22655.5,22761.44,22901.715,40112
2023-02-05,23332.1,23429.68,22796.98,22940.79,23113.33,27262
2023-02-04,23437.21,23582.26,23268.8,23332.1,23425.53,14312
2023-02-03,23470.8,23709.93,23230.74,23437.21,23470.335,40956
2023-02-02,23730.52,24229.18,23423.04,23470.8,23826.11,57852
2023-02-01,23129.7,23799.9,22792.33,23730.52,23296.115,50174
2023-01-31,22833.34,23271.14,22725.41,23129.7,22998.275,49746
2023-01-30,23747.26,23796.62,22577.01,22833.34,23186.815,73408
2023-01-29,23031.02,23948.42,22981.04,23747.26,23464.73,57693
2023-01-28,23077.75,23181.57,22895.7,23031.02,23038.635,20229
2023-01-27,23009.15,23485.53,22594.06,23077.75,23039.795,65135
2023-01-26,23066.28,23268.02,22870.4,23009.15,23069.21,64065
2023-01-25,22637.8,23801.04,22354.6,23066.28,23077.82,88106
2023-01-24,22917.47,23159.62,22485.0,22637.8,22822.31,78065
2023-01-23,22714.99,23154.59,22585.74,22917.47,22870.165,70990
2023-01-22,22789.92,23072.22,22343.13,22714.99,22707.675000000003,62351
2023-01-21,22676.2,23327.14,22465.82,22789.92,22896.48,96424
2023-01-20,21082.28,22724.89,20884.26,22676.2,21804.575,82923
2023-01-19,20678.47,21180.98,20670.44,21082.28,20925.71,54649
2023-01-18,21136.12,21624.6,20411.68,20678.47,21018.14,82422
2023-01-17,21188.92,21555.18,20866.41,21136.12,21210.795,55706
2023-01-16,20878.94,21438.83,20635.89,21188.92,21037.36,66430
2023-01-15,20954.52,21047.91,20575.44,20878.94,20811.675,44461
2023-01-14,19932.05,21255.15,19895.77,20954.52,20575.46,107073
2023-01-13,18849.0,19992.23,18717.45,19932.05,19354.84,94611
2023-01-12,17938.0,19092.31,17906.4,18849.0,18499.355000000003,122644
